"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"SNMP","Sanchez Midstream Partners LP","0.2906","$5.8M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/snmp"
"SEB","Seaboard Corporation","2672.01","$3.1B","1996","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/seb"
"SENS","Senseonics Holdings, Inc.","0.4474","$104.9M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/sens"
"SVT","Servotronics, Inc.","8.62","$21.35M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/svt"
"SMTS","Sierra Metals Inc.","1.65","$268.64M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/smts"
"SIF","SIFCO Industries, Inc.","4.01","$23.72M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/sif"
"SVM","Silvercorp Metals Inc.","8.37","$1.46B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/svm"
"SILV","SilverCrest Metals Inc.","9.73","$1.31B","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/silv"
"XPL","Solitario Zinc Corp.","0.3921","$22.79M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/xpl"
"SCE^B","Southern California Edison Company","25.51","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^b"
"SCE^C","Southern California Edison Company","25.87","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^c"
"SCE^D","Southern California Edison Company","28.9532","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^d"
"SCE^E","Southern California Edison Company","25.823","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^e"
"LOV","Spark Networks, Inc.","4.74","$123.51M","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/lov"
"STXS","Stereotaxis, Inc.","3.51","$257.14M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/stxs"
"SSY","SunLink Health Systems, Inc.","1.03","$7.11M","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ssy"
"SDPI","Superior Drilling Products, Inc.","0.3521","$9.02M","2014","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/sdpi"
"SYN","Synthetic Biologics, Inc","0.6213","$12.08M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/syn"
"TKAT","Takung Art Co., Ltd.","0.8116","$9.15M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/tkat"
"TALO.WS","Talos Energy, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/talo.ws"
"TRX","Tanzanian Gold Corporation","0.7997","$115.66M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/trx"
"TGB","Taseko Mines Limited","0.9772","$240.58M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tgb"
"TGC","Tengasco, Inc.","1.005","$10.73M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tgc"
"GLU","The Gabelli Global Utility and Income Trust","16.28","$87.41M","2004","n/a","n/a","https://old.nasdaq.com/symbol/glu"
"GLU^A","The Gabelli Global Utility and Income Trust","46","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glu^a"
"GLU^B","The Gabelli Global Utility and Income Trust","52.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glu^b"
"GGO","The Gabelli Go Anywhere Trust","10.98","$17.02M","2016","n/a","n/a","https://old.nasdaq.com/symbol/ggo"
"GGO^A","The Gabelli Go Anywhere Trust","41.1284","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggo^a"
"TDW.WS","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws"
"TMBR","Timber Pharmaceuticals, Inc.","1.17","$14.08M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tmbr"
"TMP","Tompkins Financial Corporation","65.73","$980.52M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tmp"
"TAT","Transatlantic Petroleum Ltd","0.2305","$15.81M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tat"
"TRXC","TransEnterix, Inc.","0.3784","$37.79M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/trxc"
"TMQ","Trilogy Metals Inc.","2.04","$287.57M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tmq"
"TPHS","Trinity Place Holdings Inc.","1.46","$46.94M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/tphs"
"TRT","Trio-Tech International","3.675","$13.5M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/trt"
"UFAB","Unique Fabricating, Inc.","3.14","$30.71M","2015","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/ufab"
"UAMY","United States Antimony Corporation","0.5036","$38.25M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/uamy"
"UUU","Universal Security Instruments, Inc.","1.8","$4.16M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/uuu"
"URG","Ur Energy Inc","0.5976","$101.28M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/urg"
"UEC","Uranium Energy Corp.","1.13","$208.13M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/uec"
"VGZ","Vista Gold Corporation","1.2","$122.52M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/vgz"
"VNRX","VolitionRX Limited","3.33","$159.57M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/vnrx"
"VOLT","Volt Information Sciences, Inc.","1.155","$24.73M","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/volt"
"EAD","Wells Fargo Income Opportunities Fund","7.57","$458.92M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ead"
"ERC","Wells Fargo Multi-Sector Income Fund","11.57","$348.03M","2003","n/a","n/a","https://old.nasdaq.com/symbol/erc"
"ERH","Wells Fargo Utilities and High Income Fund","12.775","$118.42M","2004","n/a","n/a","https://old.nasdaq.com/symbol/erh"
"WRN","Western Copper and Gold Corporation","1.31","$150.88M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/wrn"
"WYY","WidePoint Corporation","0.542","$45.75M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/wyy"
"WTT","Wireless Telecom Group,  Inc.","1.29","$27.93M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/wtt"
"XTNT","Xtant Medical Holdings, Inc.","0.8671","$11.47M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xtnt"
"ZDGE","Zedge, Inc.","1.41","$17.2M","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/zdge"
"ZOM","Zomedica Pharmaceuticals Corp.","0.119","$67.12M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zom"
